neighborhood_name,neighborhood_url,neighborhood_description,neighborhood_borough
Coney Island,https://www.nycgo.com/boroughs-neighborhoods/brooklyn/coney-island,Seaside playground and hot dog heaven,Brooklyn
Gowanus,https://www.nycgo.com/boroughs-neighborhoods/brooklyn/gowanus,Shuffleboard and axe-throwing on a canal,Brooklyn
Tompkinsville,https://www.nycgo.com/boroughs-neighborhoods/staten-island/tompkinsville,A small neighborhood with big flavors,Staten Island
Sunset Park,https://www.nycgo.com/boroughs-neighborhoods/brooklyn/sunset-park,The world on a plate,Brooklyn
East Harlem,https://www.nycgo.com/boroughs-neighborhoods/manhattan/east-harlem,Head uptown for Latin culture,Manhattan
Jackson Heights,https://www.nycgo.com/boroughs-neighborhoods/queens/jackson-heights,Language and food from around the globe,Queens
Fort Greene,https://www.nycgo.com/boroughs-neighborhoods/brooklyn/fort-greene,"A hilly park, history and BAM",Brooklyn
Long Island City,https://www.nycgo.com/boroughs-neighborhoods/queens/long-island-city,Queens’ artistic epicenter,Queens
Randall Manor,https://www.nycgo.com/boroughs-neighborhoods/staten-island/randall-manor,Greek structures amid green spaces,Staten Island
Fordham,https://www.nycgo.com/boroughs-neighborhoods/the-bronx/fordham,Flora and fauna near a bustling campus,The Bronx
Woodlawn,https://www.nycgo.com/boroughs-neighborhoods/the-bronx/woodlawn,Grab a pint in Little Ireland,The Bronx
Lower East Side,https://www.nycgo.com/boroughs-neighborhoods/manhattan/lower-east-side,"Immigrant traditions, new musicians",Manhattan
NoHo,https://www.nycgo.com/boroughs-neighborhoods/manhattan/noho,A downtown wedge of fashion and food,Manhattan
Murray Hill,https://www.nycgo.com/boroughs-neighborhoods/manhattan/murray-hill,"Beaux-arts mansions, culture and cuisine",Manhattan
East Village,https://www.nycgo.com/boroughs-neighborhoods/manhattan/east-village,Follow the path of poets and punks,Manhattan
Gramercy,https://www.nycgo.com/boroughs-neighborhoods/manhattan/gramercy,The park is key to this tony enclave,Manhattan
Corona,https://www.nycgo.com/boroughs-neighborhoods/queens/corona,Where jazz sounds meet worldly flavors,Queens
Flatiron District,https://www.nycgo.com/boroughs-neighborhoods/manhattan/flatiron-district,See the City from a new angle,Manhattan
Koreatown,https://www.nycgo.com/boroughs-neighborhoods/manhattan/koreatown,"Tabletop barbecue, then karaoke",Manhattan
DUMBO,https://www.nycgo.com/boroughs-neighborhoods/brooklyn/dumbo,"Galleries, shops and bridge photo ops",Brooklyn
Downtown Brooklyn,https://www.nycgo.com/boroughs-neighborhoods/brooklyn/downtown-brooklyn,Home of New York cheesecake,Brooklyn
Governors Island,https://www.nycgo.com/boroughs-neighborhoods/manhattan/governors-island,Ferry away to outdoor fun,Manhattan
NoLIta,https://www.nycgo.com/boroughs-neighborhoods/manhattan/nolita,"Eat, shop and people-watch",Manhattan
Bay Ridge,https://www.nycgo.com/boroughs-neighborhoods/brooklyn/bay-ridge,Harbor views and Italian food,Brooklyn
Coney Island,https://www.nycgo.com/boroughs-neighborhoods/brooklyn/coney-island,Seaside playground and hot dog heaven,Brooklyn
Gowanus,https://www.nycgo.com/boroughs-neighborhoods/brooklyn/gowanus,Shuffleboard and axe-throwing on a canal,Brooklyn
